,Total point,Opponent Pts
0,126,117
1,117,126
2,123,109
3,109,123
4,113,109
5,109,113
6,107,114
7,114,107
8,117,107
9,107,117
10,108,130
11,130,108
12,115,112
13,112,115
14,108,116
15,116,108
16,108,105
17,105,108
18,115,108
19,108,115
20,102,129
21,129,102
22,123,102
23,102,123
24,107,105
25,105,107
26,108,115
27,115,108
28,88,90
29,90,88
30,97,103
31,103,97
32,112,124
33,124,112
34,134,137
35,137,134
36,102,100
37,100,102
38,108,98
39,98,108
40,109,105
41,105,109
42,104,111
43,111,104
44,130,106
45,106,130
46,122,129
47,129,122
48,126,132
49,132,126
50,123,128
51,128,123
52,113,111
53,111,113
54,105,114
55,114,105
56,124,115
57,115,124
58,120,126
59,126,120
60,96,128
61,128,96
62,112,109
63,109,112
64,125,105
65,105,125
66,137,96
67,96,137
68,122,117
69,117,122
70,109,111
71,111,109
72,104,106
73,106,104
74,109,126
75,126,109
76,117,107
77,107,117
78,121,122
79,122,121
80,106,116
81,116,106
82,130,125
83,125,130
84,95,112
85,112,95
86,120,106
87,106,120
88,90,98
89,98,90
90,115,102
91,102,115
92,120,102
93,102,120
94,114,108
95,108,114
96,134,124
97,124,134
98,106,115
99,115,106
100,135,110
101,110,135
102,120,99
103,99,120
104,113,111
105,111,113
106,108,94
107,94,108
108,134,105
109,105,134
110,103,92
111,92,103
112,113,118
113,118,113
114,110,99
115,99,110
116,134,131
117,131,134
118,119,109
119,109,119
120,124,109
121,109,124
122,134,122
123,122,134
124,109,101
125,101,109
126,110,99
127,99,110
128,98,119
129,119,98
130,125,129
131,129,125
132,118,110
133,110,118
134,123,110
135,110,123
136,110,125
137,125,110
138,112,136
139,136,112
140,113,93
141,93,113
142,123,132
143,132,123
144,90,112
145,112,90
146,117,127
147,127,117
148,119,108
149,108,119
150,111,102
151,102,111
152,129,124
153,124,129
154,117,101
155,101,117
156,124,111
157,111,124
158,125,111
159,111,125
160,119,113
161,113,119
162,120,113
163,113,120
164,116,125
165,125,116
166,109,114
167,114,109
168,123,115
169,115,123
170,111,117
171,117,111
172,124,123
173,123,124
174,91,112
175,112,91
176,112,94
177,94,112
178,121,108
179,108,121
180,128,114
181,114,128
182,107,98
183,98,107
184,114,105
185,105,114
186,124,109
187,109,124
188,121,110
189,110,121
190,108,115
191,115,108
192,111,118
193,118,111
194,116,109
195,109,116
196,139,109
197,109,139
198,110,108
199,108,110
200,121,105
201,105,121
202,95,93
203,93,95
